Country name,Population 2020,Population 2019,"COVID-19 deaths per 100,000 population in 2020",Median age,Island,Index of exposure to COVID-19  infections in other countries as of March 31,Log of average distance to SARS countries,WHO Western Pacific Region,Female head of government,Index of institutional trust,Gini coefficient of income,"All-cause death count, 2017","All-cause death count, 2018","All-cause death count, 2019","All-cause death count, 2020","Excess deaths in 2020 per 100,000 population, relative to 2017-2019 average"
Israel,8655541,9053300,38.415,30.6,0,2.25,8.97,0,0,0.262,34.4,44425,44397,45794,49469,51.918
Palestinian Territories,5101416,4685306,27.443,20.4,0,2.111,8.975,0,0,0.164,33.69,,,,,
Ghana,31072945,30417856,1.078,21.1,0,0.952,9.342,0,0,0.305,43.52,,,,,
Uganda,45741000,44269594,0.549,16.4,0,0.816,9.143,0,0,0.239,42.75,,,,,
Benin,12123198,11801151,0.363,18.8,0,0.971,9.319,0,0,0.398,47.76,,,,,
Madagascar,27691019,26969307,0.942,19.6,1,0.603,9.142,0,0,0.312,42.65,,,,,
Malawi,19129955,18628747,0.988,18.1,0,0.667,9.207,0,0,0.323,44.69,,,,,
South Africa,59308690,58558270,48.001,27.3,0,0.607,9.297,0,0,0.193,65.426,,,,566004,
Canada,37742157,37589262,41.418,41.4,0,2.296,9.268,0,0,0.482,35.25,,,,,
Australia,25499881,25364307,3.565,37.9,1,0.405,9.102,1,0,0.335,33,,,,,
Philippines,109581085,108116615,8.436,25.2,1,0.74,8.226,1,0,0.52,42.23,,,,,
Sri Lanka,21413250,21670000,0.953,34.1,1,0.705,8.635,0,0,0.368,41.937,,,,,
Vietnam,97338583,96462106,0.036,32.6,0,0.807,8.108,1,0,0.49,40.1,,,,,
Thailand,69799978,69625582,0.09,40.1,0,0.751,8.27,0,0,0.354,35.315,468911,473541,506211,501438,26.61
Cambodia,16718971,16486542,0,25.6,0,0.714,8.256,1,0,0.498,36,,,,,
Laos,7275556,7169455,0,24.4,0,0.773,8.184,1,0,0.708,36.39,,,,,
Myanmar,54409794,54045420,4.929,29.1,0,0.759,8.299,0,1,0.621,38.07,,,,,
New Zealand,4822233,4917000,0.518,37.9,1,0.379,9.266,1,1,0.527,34.1,33495,33053,34088,33177,-7.564
Angola,32866268,31825295,1.232,16.8,0,0.745,9.319,0,0,0.278,46.103,,,,,
Botswana,2351625,2303697,1.786,25.8,0,0.628,9.307,0,0,0.435,53.33,,,,,
Ethiopia,114963583,112078730,1.673,19.8,0,0.915,9.047,0,1,0.397,33.498,,,,,
Mali,20250834,19658031,1.328,16.4,0,1.07,9.352,0,0,0.274,33.04,,,,,
Mauritania,4649660,4525696,7.463,20.3,0,1.149,9.364,0,0,0.122,32.62,,,,,
Mozambique,31255435,30366036,0.531,17.7,0,0.599,9.273,0,0,0.473,49.417,,,,,
Niger,24206636,23310715,0.43,15.1,0,1.126,9.29,0,0,0.484,34.28,,,,,
Rwanda,12952209,12626950,0.71,20.3,0,0.801,9.174,0,0,0.906,43.71,,,,,
Senegal,16743930,16296364,2.449,18.7,0,1.062,9.39,0,0,0.355,40.29,,,,,
Zambia,18383956,17861030,2.11,17.7,0,0.667,9.251,0,0,0.322,57.14,,,,,
South Korea,51269183,51709098,1.789,43.4,0,1.607,8.228,1,0,0.112,35.5,284548,298030,294080,308318,31.266
Taiwan Province of China,23816775,23780000,0.029,42.2,0,0.888,8.088,1,1,0.158,29.467,171242,172784,176296,173156,-1.196
Afghanistan,38928341,38041754,5.628,18.6,0,1.107,8.623,0,0,0.046,31,,,,,
Belarus,9449321,9466856,15.07,40.3,0,2.377,8.935,0,0,0.242,25.44,,,,,
Georgia,3989175,3720382,62.795,38.7,0,1.706,8.851,0,1,0.198,37.94,,,,,
Kazakhstan,18776707,18513930,14.704,30.6,0,1.137,8.621,0,0,0.352,27.45,74381,130515,133489,162613,267.188
Kyrgyzstan,6524191,6456900,20.769,26.3,0,1.08,8.566,0,0,0.186,27.34,33166,32989,33295,39977,105.184
Moldova,4033963,2657637,73.997,37.6,0,2.348,8.952,0,0,0.104,25.9,36768,37176,36794,40382,103.692
Russia,145934460,144373535,38.559,39.6,0,1.771,8.869,0,0,0.196,34.56,1824340,1827827,1800683,2124479,211.405
Ukraine,43733759,44385155,44.087,41.4,0,2.206,8.929,0,0,0.059,25,574123,587665,581114,616835,81.407
Burkina Faso,20903278,20321378,0.407,17.6,0,1.092,9.318,0,0,0.359,35.3,,,,,
Cameroon,26545864,25876380,1.688,18.8,0,0.919,9.276,0,0,0.281,46.64,,,,,
Sierra Leone,7976985,7813215,0.953,19.1,0,0.962,9.401,0,0,0.338,34.03,,,,,
Zimbabwe,14862927,14645468,2.442,19.6,0,0.645,9.244,0,0,0.287,40.363,,,,,
Costa Rica,5094114,5047561,42.893,33.6,0,0.864,9.549,0,0,0.213,48.6,,,,,
Albania,2877800,2854191,41.038,38,0,3.058,9.036,0,0,0.15,28.96,,,,,
Algeria,43851043,43053054,6.285,29.1,0,2.933,9.159,0,0,0.415,27.62,,,,,
Argentina,45195777,44938712,95.684,31.9,0,0.549,9.717,0,0,0.091,39.6,,,,,
Armenia,2963234,2957731,95.268,35.7,0,1.762,8.858,0,0,0.174,33.62,27367,25645,26252,35371,302.304
Austria,9006400,8877067,69.084,44.4,0,4.315,9.023,0,0,0.358,26.8,81311,82063,81557,91553,110.821
Azerbaijan,10139175,10023318,26.048,32.4,0,1.752,8.81,0,0,0.352,26.6,57109,57250,56447,75647,185.609
Bahrain,1701583,1641172,20.687,32.4,1,1.667,8.852,0,0,0.487,59.6,,,,,
Belize,397621,390353,62.371,25,0,0.926,9.483,0,0,0.227,53.26,,,,,
Bhutan,771612,763092,0,28.6,0,0.863,8.349,0,0,0.722,37.44,,,,,
Bolivia,11673029,11513100,78.514,25.4,0,0.609,9.726,0,0,0.101,43.8,,,,,
Bosnia and Herzegovina,3280815,3301000,123.445,42.5,0,3.509,9.032,0,0,0.064,33.03,,,,,
Bulgaria,6948445,6975761,109.032,44.7,0,2.692,9.007,0,0,0.073,39.6,109330,108247,107849,126525,259.256
Burundi,11890781,11530580,0.017,17.5,0,0.781,9.186,0,0,0.293,38.62,,,,,
Central African Republic,4829764,4745185,1.304,18.3,0,0.912,9.225,0,0,0.371,56.24,,,,,
Chad,16425859,15946876,0.633,16.7,0,1.077,9.213,0,0,0.269,43.32,,,,,
Chile,19116209,18952038,86.879,35.4,0,0.562,9.722,0,0,0.097,45.92,106045,106458,109079,127387,106.088
Colombia,50882884,50339443,84.926,32.2,0,0.814,9.606,0,0,0.113,52,226799,236228,243648,301480,130.251
Comoros,869595,850886,1.15,20.4,1,0.663,9.128,0,0,0.139,45.33,,,,,
Congo (Kinshasa),89561404,86790567,0.66,17,0,0.805,9.287,0,0,0.257,42.1,,,,,
Congo (Brazzaville),5518092,5380508,1.957,19,0,0.853,9.287,0,0,0.238,48.94,,,,,
Croatia,4105268,4067500,95.487,44,0,4.057,9.037,0,0,0.131,29.7,53269,52562,51611,57922,133.158
Cuba,11326616,11333483,1.289,43.1,1,1.182,9.451,0,0,0.729,38,,,,,
Cyprus,875899,1198575,13.586,37.3,1,1.908,8.968,0,0,0.174,29.1,6009,5798,6218,6636,60.513
Djibouti,988002,973560,6.174,25.4,0,0.94,8.996,0,0,0.425,41.59,,,,,
Dominican Republic,10847904,10738958,22.253,27.6,1,1.13,9.503,0,0,0.199,44.4,,,,,
Ecuador,17643060,17373662,79.544,28.1,0,0.789,9.634,0,0,0.205,45.4,70049,71769,73479,115842,251.745
El Salvador,6486201,6453553,20.459,27.6,0,0.863,9.508,0,0,0.239,40.5,,,,,
Estonia,1326539,1326590,17.263,42.7,0,2.365,8.93,0,1,0.27,30.6,15476,15684,15332,16206,53.421
Finland,5540718,5520314,10.125,42.8,0,2.225,8.927,0,1,0.55,25.9,53546,54394,53821,55663,31.51
Gabon,2225728,2172579,2.875,23.1,0,0.865,9.305,0,1,0.104,38.02,,,,,
Guatemala,17915567,16604026,26.865,22.9,0,0.864,9.497,0,0,0.286,44.488,,,,,
Guinea,13132792,12771246,0.617,19,0,0.97,9.409,0,0,0.349,33.73,,,,,
Guyana,786559,782766,20.85,26.3,0,0.832,9.581,0,0,0.26,35,,,,,
Haiti,11402533,11263077,2.07,24.3,1,1.079,9.501,0,0,0.216,50.945,,,,,
Honduras,9904608,9588000,31.602,24.9,0,0.887,9.511,0,0,0.209,48.1,,,,,
Iceland,341250,361313,8.498,37.3,1,1.649,9.07,0,1,0.325,24.1,2229,2247,2261,2321,21.445
Iraq,40222503,39309783,31.855,20,0,1.652,8.882,0,0,0.133,33.12,,,,,
Ireland,4937796,4941444,45.304,38.7,1,3.188,9.1,0,0,0.431,30.6,,30621,30728,32271,32.32
Ivory Coast,26378275,25716544,0.519,18.7,0,0.964,9.365,0,0,0.285,48.594,,,,,
Jamaica,2961161,2948279,10.199,31.4,1,1.045,9.502,0,0,0.133,37.48,,,,,
Kuwait,4270563,4207083,21.871,33.7,0,1.497,8.865,0,0,0.388,36.02,,,,,
Latvia,1886202,1912789,33.666,43.9,0,2.49,8.943,0,0,0.096,35.6,28659,28743,27632,28989,33.921
Lesotho,2142252,2125268,2.381,24,0,0.586,9.317,0,0,0.279,54.18,,,,,
Liberia,5057677,4937374,1.641,19.2,0,0.935,9.398,0,0,0.273,35.27,,,,,
Libya,6871287,6777452,21.51,29,0,2.194,9.122,0,0,0.311,30.2,,,,,
Lithuania,2722291,2786844,53.558,43.5,0,2.539,8.944,0,1,0.189,36.9,39990,39452,38184,43824,167.552
Luxembourg,625976,619896,79.076,39.7,0,5.974,9.07,0,0,0.595,30.9,4251,4300,4288,4706,68.439
North Macedonia,2083380,2083459,120.141,39.1,0,2.875,9.022,0,0,0.105,32.4,20318,19727,20412,25049,235.03
Malaysia,32365998,31949777,1.455,29.9,0,0.714,8.415,1,0,0.443,41.04,168100,172100,173700,174300,9.329
Maldives,540542,530953,8.88,30.6,1,0.712,8.738,0,0,0.327,37.343,,,,,
Malta,441539,502653,49.599,42.4,1,2.822,9.097,0,0,0.403,28.7,3556,3672,3684,4093,96.52
Mauritius,1271767,1265711,0.786,37.4,1,0.624,9.084,0,0,0.411,38.47,10140,10787,11174,11060,28.348
Mongolia,3278292,3225167,0.031,28.6,0,1.14,8.326,1,0,0.102,32.35,15812,17331,17205,15922,-26.468
Montenegro,628062,622137,108.588,39.1,0,3.134,9.015,0,0,0.216,31.93,,,,,
Namibia,2540916,2494530,8.068,22,0,0.625,9.349,0,1,0.311,57.535,,,,,
Nepal,29136808,28608710,6.37,25,0,0.877,8.418,0,1,0.392,32.84,,,,,
Nicaragua,6624554,6545502,2.491,27.3,0,0.86,9.528,0,0,0.28,46.515,,,,,
Norway,5421242,5347896,8.042,39.7,0,2.676,8.993,0,1,0.606,24.8,40634,40716,40500,41155,9.998
Oman,5106622,4974986,29.354,30.7,0,1.076,8.78,0,0,0.579,30.7,8861,8979,8581,10585,35.272
Panama,4314768,4246439,93.215,29.7,0,0.91,9.568,0,0,0.182,49.8,19482,19720,20332,23876,94.177
Paraguay,7132530,7044636,31.714,26.5,0,0.591,9.726,0,0,0.138,47.4,29021,31258,32362,34139,45.971
Peru,32971846,32510453,114.279,29.1,0,0.636,9.69,0,0,0.096,43.9,98704,112516,114560,214503,323.476
Portugal,10196707,10269417,67.728,46.2,0,3.224,9.207,0,0,0.248,32.1,109283,112692,111474,125500,140.235
Qatar,2881060,2832067,8.504,31.9,0,1.368,8.847,0,0,0.676,30.233,2294,2385,2200,2627,11.692
Serbia,6804596,6944975,47.189,41.2,0,3.134,9.015,0,1,0.221,37.8,103722,101655,102131,114954,181.116
Slovakia,5459643,5454073,39.16,41.2,0,4.655,9.019,0,1,0.195,23.2,53702,54137,53115,60277,121.419
Slovenia,2078932,2087946,129.73,44.5,0,4.308,9.045,0,0,0.177,23.4,20436,20428,20547,24277,182.711
Somalia,15893219,15442905,0.818,16.8,0,0.788,9.031,0,0,0.318,39.7,,,,,
Sudan,43849269,42813238,3.348,19.7,0,1.076,9.066,0,0,0.375,45.05,,,,,
Suriname,586634,581372,20.797,29.6,0,0.821,9.581,0,0,0.274,38.1,,,,,
Eswatini,1160164,1148130,17.67,21.5,0,0.608,9.283,0,0,0.371,51.45,,,,,
Switzerland,8654618,8574832,88.334,43.1,0,5.584,9.078,0,0,0.66,30.1,66703,66888,67515,77087,116.68
Tajikistan,9537642,9321018,0.944,23.3,0,1.135,8.624,0,0,0.554,34,32027,32699,33537,41743,95.327
Gambia,2416664,2347706,5.131,17.5,0,1.044,9.393,0,0,0.489,35.92,,,,,
Togo,8278737,8082366,0.821,19.4,0,0.966,9.329,0,1,0.212,43.06,,,,,
Trinidad and Tobago,1399491,1394973,9.075,36.2,1,0.904,9.56,0,1,0.082,47.243,,,,,
Tunisia,11818618,11694719,39.565,32.7,0,3.018,9.118,0,0,0.129,32.82,,,,,
Turkmenistan,5942089,5942089,,,0,1.463,8.735,0,0,0.511,26.5,,,,,
United Arab Emirates,9890400,9770529,6.764,34,0,1.199,8.821,0,0,0.694,38.3,,,,,
Uruguay,3473727,3461734,5.21,35.6,0,0.572,9.711,0,0,0.247,39.25,,,,,
Uzbekistan,33469199,33580650,1.834,28.2,0,1.141,8.62,0,0,0.435,39.7,160723,154913,154570,175637,56.381
Yemen,29825968,29161922,2.045,20.3,0,1.005,8.966,0,0,0.267,36.71,,,,,
Kosovo,1932774,1794248,68.916,35,0,3.134,9.015,0,1,0.169,29.01,8738,8866,9552,11108,110.329
Somaliland region,,,,,0,,,0,0,,,,,,,
North Cyprus,,,,,0,,,0,0,0.305,,,,,,
South Sudan,11193729,11062113,0.563,19.2,0,1.076,9.066,0,0,0.179,46.34,,,,,
